"use","nlnet project","nlnet page","homepage listed on nlnet","GROUP repository url","repository url","packaging status (independent)","packaging status (nixpkgs)","subsystems","documentation","build system","SoN members","triage status","nixpkgs url","nixpkgs attr","primary contact","irc channel","matrix channel","entry reviewed","unofficial triage thread","issue tracker","forum","shortstring (""what am i looking at?"")","Note"
"y","Folksonomy engine for the food ecosystem","https://nlnet.nl/project/FolksonomyEngine/","https://world.openfoodfacts.org/discover",,"https://github.com/openfoodfacts/",,,,,,,,,,,,,,,,,,
"y","ForgeFed","https://nlnet.nl/project/ForgeFed/","https://forgefed.peers.community/",,"https://notabug.org/peers/forgefed",,,,,,,,,,,,,,,,,,
"y","Funkwhale","https://nlnet.nl/project/Funkwhale/","https://funkwhale.audio",,"https://dev.funkwhale.audio/funkwhale",,,,,,,,,,,,,,,,,,
"n","Libre/OpenCores FuseSoc backend","https://nlnet.nl/project/FuseSoc-Cores/","https://www.librecores.org/",,,,,,,,,,,,,,,,,,,,
"y","GNU Name System","https://nlnet.nl/project/GNS/","https://gnunet.org/en/gns.html",,"https://github.com/GNS3/gns3-gui",,,,,,,,,,,,,,,,,,
"y","GNU social","https://nlnet.nl/project/GNUSocial/","https://gnusocial.rocks","https://code.gnusocial.rocks",,,,,,,,,,,,,,,,,,,
"y","GNU Guix","https://nlnet.nl/project/GUIX/","https://guix.gnu.org/",,"https://github.com/pjotrp/guix",,,,,,,,,,,,,,,,,,
"y","Tooling to improve security and trust in GNU Guix","https://nlnet.nl/project/GUIX-securitytracking/",,,"https://git.savannah.gnu.org/cgit/guix.git/",,,,,,,,,,,,,,,,,,
"n","The Open Green Web","https://nlnet.nl/project/GreenWebSearch/","https://www.thegreenwebfoundation.org",,,,,,,,,,,,,,,,,,,,
"y","Hubzilla","https://nlnet.nl/project/Hubzilla/","https://zotlabs.org/page/hubzilla/hubzilla-project",,"https://framagit.org/hubzilla/core",,,,,,,,,,,,,,,,,,
"y","ipfs-search.com","https://nlnet.nl/project/IPFS-search/","https://ipfs-search.com",,"https://github.com/ipfs-search/ipfs-search",,,,,,,,,,,,,,,,,,
"y","IN COMMON","https://nlnet.nl/project/InCommon/","https://incommon.cc/","https://framagit.org/incommon.cc",,,,,,,,,,,,,,,,,,,
"y","In-document search","https://nlnet.nl/project/InDocumentSearch/","https://odftoolkit.org",,"https://github.com/tdf/odftoolkit.git",,,,,,,,,,,,,,,,,,
"y","Practical Tools to Build the Context Web","https://nlnet.nl/project/InPlace/","https://joopringelberg.github.io/perspectives-documentation/","https://joopringelberg.github.io/perspectives-documentation/",,,,,,,,,,,,,,,,,,,
"y","Indigenous","https://nlnet.nl/project/Indigenous/","https://indigenous.realize.be/",,"https://github.com/swentel/indigenous-android/",,,,,,,,,,,,,,,,,,
"y","Interpeer","https://nlnet.nl/project/Interpeer/","https://interpeer.io/","https://gitlab.com/interpeer",,,,,,,,,,,,,,,,,,,
"y","Inventaire","https://nlnet.nl/project/Inventaire/","https://inventaire.io","http://git.inventaire.io/",,,,,,,,,,,,,,,,,,,
"y","Irdest","https://nlnet.nl/project/Irdest/","https://irde.st",,"https://git.irde.st/we/irdest",,,,,,,,,,,,,,,,,,
"y","Kazarma","https://nlnet.nl/project/Kazarma/","https://gitlab.com/kazarma/kazarma/",,"https://gitlab.com/kazarma/kazarma",,,,,,,,,,,,,,,,,,
"y","Keyoxide","https://nlnet.nl/project/Keyoxide/","https://keyoxide.org",,"https://codeberg.org/keyoxide/web",,,,,,,,,,,,,,,,,,
"y","Collabora Online and LibreOffice","https://nlnet.nl/project/LO-Online/","https://collaboraonline.github.io/","https://github.com/CollaboraOnline","https://github.com/CollaboraOnline/online",,,,,,,,,,,,,,,,,,
"y","Lemmy","https://nlnet.nl/project/Lemmy/","https://github.com/dessalines/lemmy",,"https://github.com/LemmyNet/lemmy",,,,,,,,,,,,,,,,,,
"y","XMPP-ActivityPub gateway","https://nlnet.nl/project/Libervia/","https://salut-a-toi.org","https://repos.goffi.org/",,,,,,,,,,,,,,,,"https://salut-a-toi.org/bugs",,,
"n","LibreOffice P2P","https://nlnet.nl/project/LibreOfficeP2P/",,,,,,,,,,,,,,,,,,,,,
"y","Librecast Live","https://nlnet.nl/project/LibrecastLive/","https://librecast.net/",,"https://github.com/librestack/librecast",,,,,,,,,,,,,,,,,,
"n","MPTCP","https://nlnet.nl/project/MPTCP/",,,,,,,,,,,,,,,,,,,,,
